num ordem	ID Servico	nome Servico	ID Units	NomeUnidade: 	Latitude	Longitude
0			5750637c8c36c71ba4000029	10ª Ciretran - Sede	-9.646375	-35.728146
1	593ecc7f8c36c75e41e55fc5	Programa uma Escola em cada esquina/Brasil Alfabetizado	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
2	593ee9cb8c36c705e3a2e0a7	Dados Educacionais	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
3	593eef578c36c77940ef2098	Certificação por meio do ENEM	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
4	593ef5978c36c7099eb45568	Inspeção Escolar	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
5	594009cb8c36c7258826f7e7	Emissão de documentos de escolas desativadas (EXTINTAS)	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
6	59400caf8c36c7258826f7ea	Validação de documentos de vida escolar	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
7	5940102b8c36c7258826f7ed	Regularização de Instituições de Ensino	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
8	594017468c36c7258826f7f1	Desaverbação de Tempo de Serviço/Contribuição	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
9	59401d138c36c73ca800a182	Averbação de Licença-prêmio por assiduidade	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
10	59401ebb8c36c73ca800a184	Desaverbação da Licença-prêmio	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
11	594020748c36c73ca800a186	Certidão de Tempo de Serviço	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
12	5940b6688c36c724efe3869f	Exoneração	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
13	5940ba558c36c727003b91ff	Progressão Funcional	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
14	5940bdf68c36c727003b9201	Desistência de Pedido de Processo Administrativo	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
15	5940c2268c36c727003b9204	Certidão de Ato de Nomeação	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
16	5940c7388c36c727003b9206	Declaração de Tempo de Serviço	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
17	594169548c36c70265fe1d0b	Decreto de Nomeação	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
18	59416b7c8c36c70265fe1d0e	Remoção (Servidor Administrativo)	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
19	5945c0bb8c36c730b8b47dba	Exames Supletivos em caráter Especial	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
20	5945cd798c36c73b028c3b78	Pesquisa das Unidades Escolares da rede estadual	593974fe8c36c7335d4d8d71	10ª Gerência Regional de Educação	-9.057048799503717	-35.398114174604416
0			5750698c8c36c71ba4000033	11ª CIRETRAN - Atalaia	-9.646375	-35.728146
1	593ecc7f8c36c75e41e55fc5	Programa uma Escola em cada esquina/Brasil Alfabetizado	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
2	593ee9cb8c36c705e3a2e0a7	Dados Educacionais	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
3	593eef578c36c77940ef2098	Certificação por meio do ENEM	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
4	593ef5978c36c7099eb45568	Inspeção Escolar	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
5	594009cb8c36c7258826f7e7	Emissão de documentos de escolas desativadas (EXTINTAS)	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
6	59400caf8c36c7258826f7ea	Validação de documentos de vida escolar	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
7	5940102b8c36c7258826f7ed	Regularização de Instituições de Ensino	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
8	5940140e8c36c7258826f7ef	Averbação de Tempo de Serviço / Contribuição	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
9	594017468c36c7258826f7f1	Desaverbação de Tempo de Serviço/Contribuição	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
10	59401d138c36c73ca800a182	Averbação de Licença-prêmio por assiduidade	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
11	59401ebb8c36c73ca800a184	Desaverbação da Licença-prêmio	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
12	594020748c36c73ca800a186	Certidão de Tempo de Serviço	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
13	5940b6688c36c724efe3869f	Exoneração	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
14	5940ba558c36c727003b91ff	Progressão Funcional	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
15	5940bdf68c36c727003b9201	Desistência de Pedido de Processo Administrativo	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
16	5940c2268c36c727003b9204	Certidão de Ato de Nomeação	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
17	5940c7388c36c727003b9206	Declaração de Tempo de Serviço	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
18	594169548c36c70265fe1d0b	Decreto de Nomeação	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
19	59416b7c8c36c70265fe1d0e	Remoção (Servidor Administrativo)	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
20	5945c0bb8c36c730b8b47dba	Exames Supletivos em caráter Especial	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
21	5945cd798c36c73b028c3b78	Pesquisa das Unidades Escolares da rede estadual	59397b068c36c739a15b262d	11ª Gerência Regional de Educação	-9.613313862433058	-37.76615872979164
0			575069c78c36c71ba4000034	12ª CIRETRAN - Girau do Ponciano	-9.646375	-35.728146
1	593ecc7f8c36c75e41e55fc5	Programa uma Escola em cada esquina/Brasil Alfabetizado	59397cbc8c36c739a15b2632	12ª Gerência Regional de Educação	-9.487603923389585	-35.85331857204437
